disposition,orbit_period_days,stellar_radius_sun,stellar_effective_temp_kelvin,planet_equilibrium_temp_kelvin,stellar_surface_gravity_log10_cm_s2
1,3.4741012,1.62,8894.8,2084.3330866,4.38
0,6.5011911,,5485.0,976.5873888,
1,6.0360758,1.69,6528.3,1293.0,4.21
1,21.745537,0.93,5704.0,642.0,4.51
0,1.32003,,,,
0,1.6865822,,,,
0,13.0727479,3.59,5709.8,1074.0,3.37
0,2.9258727,1.3,4884.5,2066.0,
0,0.73774,2.1,6449.5,,3.94
1,2.7985802,0.906655,4920.0,1089.1458169,4.49371
0,2.3664127,,,,
1,1.7635881,,7986.1,2608.0,
1,7.3166682,,8730.0,1647.0,
1,3.0771612,,9311.3,1827.6445751,
0,3.2077145,,,,
1,2.2552845,0.96,5787.0,1348.0,4.5
0,1.8824539,1.13,5900.4,3091.0,4.39
0,15.196,1.14,5807.0,,
0,2.1358631,1.5,5969.0,1745.0,4.17
1,6.7075429,1.24,6134.3,1079.0,
1,3.5862962,2.00441,5704.8,1658.3915202,3.84
0,1.8296155,3.5,7875.0,3751.0,3.61
0,11.1876137,2.05,7266.0,1499.0,4.06
0,7.8513949,,,,
1,7.0643978,0.96,5429.6,890.0,4.44
1,8.9534775,0.76,5029.5,723.0,4.61
0,7.5022708,1.27,6229.0,940.0,4.31
1,14.0077666,1.57435,6557.7,1028.5320293,4.18
0,1.692892,2.1,9121.5,5800.0,4.21
0,2.6652007,0.56,4043.4,2045.0,4.69
1,1.2615323,0.78,4927.9,1715.0,4.57
1,6.0344667,1.05,5586.0,788.0,4.36763
1,9.6867516,0.73,4738.1,707.0,4.59
1,2.1031647,1.93,6122.0,3037.0,3.93
0,7.6416041,2.05,6496.7,1303.0,
0,5.9294088,1.06,5095.6,,
1,5.7484439,0.69,4534.0,820.0,4.61
0,1.1967018,1.73,5997.0,3534.0,4.0
0,11.2464616,2.01,6115.7,1218.0,3.89
1,2.5941968,1.4,6389.0,1159.0,4.26
0,8.5112,,8156.0,,4.35
1,3.9687994,,5286.9,,
1,5.5411114,0.82,5332.0,1117.0,4.56429
1,10.6917268,0.82,5332.0,710.0,4.56429
1,3.6950015,1.63,7106.7,1904.0,4.2
0,15.7335693,2.21,6800.0,1219.0,3.91
1,45.9403293,1.28,6479.3,,
0,2.2219839,1.87,7166.8,,
1,2.3106428,0.99,5339.9,1052.0,4.41
0,4.05135,3.85,4974.4,,
1,5.5376617,2.06,6689.0,1206.0,3.96
1,4.5960377,2.12,7649.0,1937.0,4.04
1,3.612771,1.71,8324.0,2344.0,4.28
1,3.6714717,1.54,5618.0,1182.0,4.06
1,11.535076,2.48771,5479.3,,3.77
0,0.8352406,1.24,6105.0,2345.0,4.31
1,2.4919771,0.482388,3948.0,639.9817426,4.68962
0,,0.577983,3773.0,448.0162269,4.438
1,25.5195307,1.17321,5742.22,662.8890748,4.29
1,1.3812115,1.7756799,6711.0,2222.614552,4.06358
1,2.3922703,4.1956,6090.0,2954.822621,3.29864
0,0.831542,1.1512,5824.0,1999.3796659,4.438
1,2.6282553,1.10743,6282.0,1418.1144376,4.37809
1,3.4239436,0.823019,5626.0,1056.3800546,4.56195
1,10.983042,0.823019,5626.0,716.2888325,4.56195
1,17.726449,0.823019,5626.0,610.6445415,4.56195
1,40.7199388,1.55953,5914.0,668.3063106,3.98
